,Series ID,Date,Value,Annual Percent Change
41,CUSR0000SA0,2022-02-01,284.525,7.9
42,CUSR0000SA0,2022-01-01,282.542,7.6
43,CUSR0000SA0,2021-12-01,280.806,7.2
44,CUSR0000SA0,2021-11-01,278.824,6.9
45,CUSR0000SA0,2021-10-01,276.528,6.2
46,CUSR0000SA0,2021-09-01,273.942,5.4
47,CUSR0000SA0,2021-08-01,272.752,5.2
48,CUSR0000SA0,2021-07-01,271.965,5.3
49,CUSR0000SA0,2021-06-01,270.71,5.3
50,CUSR0000SA0,2021-05-01,268.404,4.9
51,CUSR0000SA0,2021-04-01,266.625,4.1
52,CUSR0000SA0,2021-03-01,264.847,2.6
53,CUSR0000SA0,2021-02-01,263.573,1.7
54,CUSR0000SA0,2021-01-01,262.639,1.4
55,CUSR0000SA0,2020-12-01,262.045,1.3
56,CUSR0000SA0,2020-11-01,260.911,1.2
57,CUSR0000SA0,2020-10-01,260.319,1.2
58,CUSR0000SA0,2020-09-01,259.997,1.4
59,CUSR0000SA0,2020-08-01,259.316,1.3
60,CUSR0000SA0,2020-07-01,258.352,1.0
61,CUSR0000SA0,2020-06-01,257.042,0.7
62,CUSR0000SA0,2020-05-01,255.802,0.2
63,CUSR0000SA0,2020-04-01,256.032,0.3
64,CUSR0000SA0,2020-03-01,258.076,1.5
65,CUSR0000SA0,2020-02-01,259.25,2.3
66,CUSR0000SA0,2020-01-01,259.127,2.6
67,CUSR0000SA0,2019-12-01,258.63,2.3
68,CUSR0000SA0,2019-11-01,257.879,2.1
69,CUSR0000SA0,2019-10-01,257.155,1.7
70,CUSR0000SA0,2019-09-01,256.43,1.7
71,CUSR0000SA0,2019-08-01,256.036,1.7
72,CUSR0000SA0,2019-07-01,255.802,1.8
73,CUSR0000SA0,2019-06-01,255.213,1.7
74,CUSR0000SA0,2019-05-01,255.296,1.8
75,CUSR0000SA0,2019-04-01,255.233,2.0
76,CUSR0000SA0,2019-03-01,254.277,1.9
77,CUSR0000SA0,2019-02-01,253.319,1.5
78,CUSR0000SA0,2019-01-01,252.561,1.5
79,CUSR0000SA0,2018-12-01,252.767,2.0
80,CUSR0000SA0,2018-11-01,252.594,2.1
81,CUSR0000SA0,2018-10-01,252.772,2.5
82,CUSR0000SA0,2018-09-01,252.182,2.3
83,CUSR0000SA0,2018-08-01,251.663,2.6
84,CUSR0000SA0,2018-07-01,251.214,2.9
85,CUSR0000SA0,2018-06-01,251.018,2.8
86,CUSR0000SA0,2018-05-01,250.792,2.8
87,CUSR0000SA0,2018-04-01,250.227,2.5
88,CUSR0000SA0,2018-03-01,249.577,2.3
89,CUSR0000SA0,2018-02-01,249.529,2.3
90,CUSR0000SA0,2018-01-01,248.859,2.2
91,CUSR0000SA0,2017-12-01,247.805,2.1
92,CUSR0000SA0,2017-11-01,247.284,2.2
93,CUSR0000SA0,2017-10-01,246.626,2.0
94,CUSR0000SA0,2017-09-01,246.435,2.2
95,CUSR0000SA0,2017-08-01,245.183,1.9
96,CUSR0000SA0,2017-07-01,244.243,1.7
97,CUSR0000SA0,2017-06-01,244.163,1.6
98,CUSR0000SA0,2017-05-01,244.004,1.9
99,CUSR0000SA0,2017-04-01,244.193,2.2
100,CUSR0000SA0,2017-03-01,243.892,2.4
101,CUSR0000SA0,2017-02-01,244.006,2.8
102,CUSR0000SA0,2017-01-01,243.618,2.5
103,CUSR0000SA0,2016-12-01,242.637,2.1
104,CUSR0000SA0,2016-11-01,242.026,1.7
105,CUSR0000SA0,2016-10-01,241.741,1.7
106,CUSR0000SA0,2016-09-01,241.176,1.5
107,CUSR0000SA0,2016-08-01,240.545,1.1
108,CUSR0000SA0,2016-07-01,240.101,0.9
109,CUSR0000SA0,2016-06-01,240.222,1.1
110,CUSR0000SA0,2016-05-01,239.557,1.1
111,CUSR0000SA0,2016-04-01,238.992,1.2
112,CUSR0000SA0,2016-03-01,238.08,0.9
113,CUSR0000SA0,2016-02-01,237.336,0.8
114,CUSR0000SA0,2016-01-01,237.652,1.2
115,CUSR0000SA0,2015-12-01,237.761,0.6
116,CUSR0000SA0,2015-11-01,238.017,0.4
117,CUSR0000SA0,2015-10-01,237.733,0.1
118,CUSR0000SA0,2015-09-01,237.498,0.0
119,CUSR0000SA0,2015-08-01,238.033,0.2
120,CUSR0000SA0,2015-07-01,238.034,0.2
121,CUSR0000SA0,2015-06-01,237.657,0.2
122,CUSR0000SA0,2015-05-01,237.001,0.0
123,CUSR0000SA0,2015-04-01,236.222,-0.1
124,CUSR0000SA0,2015-03-01,235.976,0.0
125,CUSR0000SA0,2015-02-01,235.342,-0.1
126,CUSR0000SA0,2015-01-01,234.747,-0.2
127,CUSR0000SA0,2014-12-01,236.252,0.7
128,CUSR0000SA0,2014-11-01,236.983,1.2
129,CUSR0000SA0,2014-10-01,237.43,1.6
130,CUSR0000SA0,2014-09-01,237.477,1.7
131,CUSR0000SA0,2014-08-01,237.46,1.7
132,CUSR0000SA0,2014-07-01,237.498,2.0
133,CUSR0000SA0,2014-06-01,237.231,2.1
134,CUSR0000SA0,2014-05-01,236.918,2.2
135,CUSR0000SA0,2014-04-01,236.468,2.0
136,CUSR0000SA0,2014-03-01,236.028,1.6
137,CUSR0000SA0,2014-02-01,235.547,1.1
138,CUSR0000SA0,2014-01-01,235.288,1.6
139,CUSR0000SA0,2013-12-01,234.719,1.5
140,CUSR0000SA0,2013-11-01,234.1,1.2
141,CUSR0000SA0,2013-10-01,233.669,0.9
142,CUSR0000SA0,2013-09-01,233.544,1.1
143,CUSR0000SA0,2013-08-01,233.456,1.5
144,CUSR0000SA0,2013-07-01,232.9,1.9
145,CUSR0000SA0,2013-06-01,232.445,1.7
146,CUSR0000SA0,2013-05-01,231.893,1.4
147,CUSR0000SA0,2013-04-01,231.797,1.1
148,CUSR0000SA0,2013-03-01,232.282,1.5
149,CUSR0000SA0,2013-02-01,232.937,2.0
150,CUSR0000SA0,2013-01-01,231.679,1.7
151,CUSR0000SA0,2012-12-01,231.221,1.8
152,CUSR0000SA0,2012-11-01,231.249,1.8
153,CUSR0000SA0,2012-10-01,231.638,2.2
154,CUSR0000SA0,2012-09-01,231.015,1.9
155,CUSR0000SA0,2012-08-01,229.918,1.7
156,CUSR0000SA0,2012-07-01,228.59,1.4
157,CUSR0000SA0,2012-06-01,228.524,1.7
158,CUSR0000SA0,2012-05-01,228.713,1.7
159,CUSR0000SA0,2012-04-01,229.187,2.3
160,CUSR0000SA0,2012-03-01,228.807,2.6
161,CUSR0000SA0,2012-02-01,228.329,2.9
162,CUSR0000SA0,2012-01-01,227.842,3.0
163,CUSR0000SA0,2011-12-01,227.223,3.1
164,CUSR0000SA0,2011-11-01,227.169,3.5
165,CUSR0000SA0,2011-10-01,226.75,3.5
166,CUSR0000SA0,2011-09-01,226.597,3.8
167,CUSR0000SA0,2011-08-01,226.106,3.8
168,CUSR0000SA0,2011-07-01,225.395,3.6
169,CUSR0000SA0,2011-06-01,224.806,3.5
170,CUSR0000SA0,2011-05-01,224.806,3.5
171,CUSR0000SA0,2011-04-01,224.093,3.1
172,CUSR0000SA0,2011-03-01,223.046,2.6
173,CUSR0000SA0,2011-02-01,221.898,2.1
174,CUSR0000SA0,2011-01-01,221.187,1.7
175,CUSR0000SA0,2010-12-01,220.472,1.4
176,CUSR0000SA0,2010-11-01,219.59,1.1
177,CUSR0000SA0,2010-10-01,219.035,1.2
178,CUSR0000SA0,2010-09-01,218.275,1.1
179,CUSR0000SA0,2010-08-01,217.923,1.2
180,CUSR0000SA0,2010-07-01,217.605,1.3
181,CUSR0000SA0,2010-06-01,217.199,1.1
182,CUSR0000SA0,2010-05-01,217.29,2.0
183,CUSR0000SA0,2010-04-01,217.403,2.2
184,CUSR0000SA0,2010-03-01,217.353,2.3
185,CUSR0000SA0,2010-02-01,217.281,2.2
186,CUSR0000SA0,2010-01-01,217.488,2.6
187,CUSR0000SETB01,2025-07-01,266.008,-9.5
188,CUSR0000SETB01,2025-06-01,271.907,-8.3
189,CUSR0000SETB01,2025-05-01,269.189,-12.0
190,CUSR0000SETB01,2025-04-01,276.51,-11.8
191,CUSR0000SETB01,2025-03-01,276.765,-9.8
192,CUSR0000SETB01,2025-02-01,295.226,-3.1
193,CUSR0000SETB01,2025-01-01,298.08,-0.2
194,CUSR0000SETB01,2024-12-01,292.942,-3.3
195,CUSR0000SETB01,2024-11-01,281.613,-8.1
196,CUSR0000SETB01,2024-10-01,280.807,-12.2
197,CUSR0000SETB01,2024-09-01,283.588,-15.2
198,CUSR0000SETB01,2024-08-01,290.345,-10.4
199,CUSR0000SETB01,2024-07-01,293.814,-2.3
200,CUSR0000SETB01,2024-06-01,296.475,-2.4
201,CUSR0000SETB01,2024-05-01,305.733,2.3
202,CUSR0000SETB01,2024-04-01,313.349,1.0
203,CUSR0000SETB01,2024-03-01,306.743,0.8
204,CUSR0000SETB01,2024-02-01,304.623,-3.9
205,CUSR0000SETB01,2024-01-01,298.595,-6.0
206,CUSR0000SETB01,2023-12-01,302.868,-1.7
207,CUSR0000SETB01,2023-11-01,306.352,-8.6
208,CUSR0000SETB01,2023-10-01,319.829,-5.2
209,CUSR0000SETB01,2023-09-01,334.484,3.1
210,CUSR0000SETB01,2023-08-01,324.015,-3.6
211,CUSR0000SETB01,2023-07-01,300.583,-20.1
212,CUSR0000SETB01,2023-06-01,303.728,-26.5
213,CUSR0000SETB01,2023-05-01,298.88,-19.6
214,CUSR0000SETB01,2023-04-01,310.282,-12.3
215,CUSR0000SETB01,2023-03-01,304.286,-17.7
216,CUSR0000SETB01,2023-02-01,317.123,-2.0
217,CUSR0000SETB01,2023-01-01,317.691,1.8
218,CUSR0000SETB01,2022-12-01,308.143,-1.3
219,CUSR0000SETB01,2022-11-01,335.333,10.6
220,CUSR0000SETB01,2022-10-01,337.258,17.7
221,CUSR0000SETB01,2022-09-01,324.545,18.4
222,CUSR0000SETB01,2022-08-01,336.269,25.2
223,CUSR0000SETB01,2022-07-01,376.184,43.4
224,CUSR0000SETB01,2022-06-01,413.1,59.8
225,CUSR0000SETB01,2022-05-01,371.837,48.6
226,CUSR0000SETB01,2022-04-01,353.734,43.5
227,CUSR0000SETB01,2022-03-01,369.801,47.4
228,CUSR0000SETB01,2022-02-01,323.725,38.3
229,CUSR0000SETB01,2022-01-01,311.988,40.9
230,CUSR0000SETB01,2021-12-01,312.262,49.6
231,CUSR0000SETB01,2021-11-01,303.209,58.1
232,CUSR0000SETB01,2021-10-01,286.559,49.6
233,CUSR0000SETB01,2021-09-01,274.224,42.0
234,CUSR0000SETB01,2021-08-01,268.57,42.6
235,CUSR0000SETB01,2021-07-01,262.373,41.8
236,CUSR0000SETB01,2021-06-01,258.45,45.1
237,CUSR0000SETB01,2021-05-01,250.207,56.1
238,CUSR0000SETB01,2021-04-01,246.431,49.5
239,CUSR0000SETB01,2021-03-01,250.828,22.4
240,CUSR0000SETB01,2021-02-01,234.076,1.5
241,CUSR0000SETB01,2021-01-01,221.457,-8.6
242,CUSR0000SETB01,2020-12-01,208.753,-14.5
243,CUSR0000SETB01,2020-11-01,191.823,-19.0
244,CUSR0000SETB01,2020-10-01,191.525,-17.6
245,CUSR0000SETB01,2020-09-01,193.069,-15.4
246,CUSR0000SETB01,2020-08-01,188.325,-18.0
247,CUSR0000SETB01,2020-07-01,185.072,-21.3
248,CUSR0000SETB01,2020-06-01,178.169,-23.1
249,CUSR0000SETB01,2020-05-01,160.261,-33.9
250,CUSR0000SETB01,2020-04-01,164.836,-32.9
251,CUSR0000SETB01,2020-03-01,204.901,-10.9
252,CUSR0000SETB01,2020-02-01,230.646,6.2
253,CUSR0000SETB01,2020-01-01,242.397,16.1
