"Series ID","Year","Value","Annual Percent Change"
"PCU321991321991","December 1 2020","359.6","9.0"
"PCU321991321991","November 1 2020","359.8","9.5"
"PCU321991321991","October 1 2020","357.7","8.9"
"PCU321991321991","September 1 2020","352.3","7.1"
"PCU321991321991","August 1 2020","339.9","3.3"
"PCU321991321991","July 1 2020","334.8","1.8"
"PCU321991321991","June 1 2020","335.7","1.8"
"PCU321991321991","May 1 2020","335.6","1.8"
"PCU321991321991","April 1 2020","334.9","1.6"
"PCU321991321991","March 1 2020","332.9","9.5"
"PCU321991321991","February 1 2020","330.3","9.1"
"PCU321991321991","January 1 2020","330.7","9.2"
"PCU321991321991","December 1 2019","329.8","8.3"
"PCU321991321991","November 1 2019","328.6","8.0"
"PCU321991321991","October 1 2019","328.6","7.0"
"PCU321991321991","September 1 2019","328.8","7.1"
"PCU321991321991","August 1 2019","328.9","6.8"
"PCU321991321991","July 1 2019","328.8","6.9"
"PCU321991321991","June 1 2019","329.7","8.9"
"PCU321991321991","May 1 2019","329.8","9.4"
"PCU321991321991","April 1 2019","329.7","10.5"
"PCU321991321991","March 1 2019","303.9","2.3"
"PCU321991321991","February 1 2019","302.8","2.2"
"PCU321991321991","January 1 2019","302.8","2.5"
"PCU321991321991","December 1 2018","304.5","3.5"
"PCU321991321991","November 1 2018","304.2","4.4"
"PCU321991321991","October 1 2018","307.0","4.8"
"PCU321991321991","September 1 2018","307.0","5.6"
"PCU321991321991","August 1 2018","308.0","7.5"
"PCU321991321991","July 1 2018","307.6","7.4"
"PCU321991321991","June 1 2018","302.7","6.0"
"PCU321991321991","May 1 2018","301.4","5.9"
"PCU321991321991","April 1 2018","298.3","5.3"
"PCU321991321991","March 1 2018","297.0","6.0"
"PCU321991321991","February 1 2018","296.4","6.2"
"PCU321991321991","January 1 2018","295.4","6.1"
"PCU321991321991","December 1 2017","294.1","5.8"
"PCU321991321991","November 1 2017","291.5","4.7"
"PCU321991321991","October 1 2017","293.0","5.5"
"PCU321991321991","September 1 2017","290.8","4.8"
"PCU321991321991","August 1 2017","286.5","3.3"
"PCU321991321991","July 1 2017","286.3","3.4"
"PCU321991321991","June 1 2017","285.6","3.3"
"PCU321991321991","May 1 2017","284.5","2.9"
"PCU321991321991","April 1 2017","283.2","2.5"
"PCU321991321991","March 1 2017","280.2","1.5"
"PCU321991321991","February 1 2017","279.0","1.1"
"PCU321991321991","January 1 2017","278.3","0.8"
"PCU321991321991","December 1 2016","278.1","0.9"
"PCU321991321991","November 1 2016","278.4","1.0"
"PCU321991321991","October 1 2016","277.7","0.8"
"PCU321991321991","September 1 2016","277.5","1.1"
"PCU321991321991","August 1 2016","277.4","1.1"
"PCU321991321991","July 1 2016","276.9","0.8"
"PCU321991321991","June 1 2016","276.6","0.8"
"PCU321991321991","May 1 2016","276.4","0.8"
"PCU321991321991","April 1 2016","276.2","0.8"
"PCU321991321991","March 1 2016","276.1","1.0"
"PCU321991321991","February 1 2016","275.9","1.1"
"PCU321991321991","January 1 2016","276.1","1.4"
"PCU321991321991","December 1 2015","275.7","1.5"
"PCU321991321991","November 1 2015","275.6","1.8"
"PCU321991321991","October 1 2015","275.5","1.8"
"PCU321991321991","September 1 2015","274.6","2.0"
"PCU321991321991","August 1 2015","274.4","2.2"
"PCU321991321991","July 1 2015","274.6","2.4"
"PCU321991321991","June 1 2015","274.4","2.3"
"PCU321991321991","May 1 2015","274.3","2.8"
"PCU321991321991","April 1 2015","273.9","2.9"
"PCU321991321991","March 1 2015","273.3","2.9"
"PCU321991321991","February 1 2015","273.0","3.0"
"PCU321991321991","January 1 2015","272.3","2.8"
"PCU321991321991","December 1 2014","271.6","2.6"
"PCU321991321991","November 1 2014","270.6","2.0"
"PCU321991321991","October 1 2014","270.5","2.2"
"PCU321991321991","September 1 2014","269.3","2.5"
"PCU321991321991","August 1 2014","268.5","2.8"
"PCU321991321991","July 1 2014","268.1","2.5"
"PCU321991321991","June 1 2014","268.2","2.7"
"PCU321991321991","May 1 2014","266.7","2.2"
"PCU321991321991","April 1 2014","266.2","1.8"
"PCU321991321991","March 1 2014","265.5","1.7"
"PCU321991321991","February 1 2014","265.1","2.4"
"PCU321991321991","January 1 2014","264.8","3.3"
"PCU321991321991","December 1 2013","264.8","3.9"
"PCU321991321991","November 1 2013","265.2","4.0"
"PCU321991321991","October 1 2013","264.7","4.8"
"PCU321991321991","September 1 2013","262.7","4.7"
"PCU321991321991","August 1 2013","261.2","4.0"
"PCU321991321991","July 1 2013","261.5","4.4"
"PCU321991321991","June 1 2013","261.2","4.6"
"PCU321991321991","May 1 2013","261.0","5.1"
"PCU321991321991","April 1 2013","261.5","6.0"
"PCU321991321991","March 1 2013","261.0","6.1"
"PCU321991321991","February 1 2013","258.8","5.4"
"PCU321991321991","January 1 2013","256.4","4.6"
"PCU321991321991","December 1 2012","254.9","4.4"
"PCU321991321991","November 1 2012","255.1","4.5"
"PCU321991321991","October 1 2012","252.6","3.5"
"PCU321991321991","September 1 2012","250.9","3.0"
"PCU321991321991","August 1 2012","251.2","3.6"
"PCU321991321991","July 1 2012","250.5","3.5"
"PCU321991321991","June 1 2012","249.7","4.3"
"PCU321991321991","May 1 2012","248.4","4.1"
"PCU321991321991","April 1 2012","246.6","3.6"
"PCU321991321991","March 1 2012","246.1","3.5"
"PCU321991321991","February 1 2012","245.5","3.9"
"PCU321991321991","January 1 2012","245.1","3.9"
"PCU321991321991","December 1 2011","244.1","3.6"
"PCU321991321991","November 1 2011","244.2","3.7"
"PCU321991321991","October 1 2011","244.0","3.6"
"PCU321991321991","September 1 2011","243.7","3.5"
"PCU321991321991","August 1 2011","242.5","3.0"
"PCU321991321991","July 1 2011","242.0","2.8"
"PCU321991321991","June 1 2011","239.5","3.6"
"PCU321991321991","May 1 2011","238.6","3.6"
"PCU321991321991","April 1 2011","238.1","3.6"
"PCU321991321991","March 1 2011","237.8","3.8"
"PCU321991321991","February 1 2011","236.3","4.0"
"PCU321991321991","January 1 2011","235.8","3.7"
"PCU321991321991","December 1 2010","235.7","3.7"
"PCU321991321991","November 1 2010","235.5","3.8"
"PCU321991321991","October 1 2010","235.5","3.8"
"PCU321991321991","September 1 2010","235.4","3.7"
"PCU321991321991","August 1 2010","235.4","4.4"
"PCU321991321991","July 1 2010","235.5","4.5"
"PCU321991321991","June 1 2010","231.2","2.6"
"PCU321991321991","May 1 2010","230.4","2.3"
"PCU321991321991","April 1 2010","229.9","1.7"
"PCU321991321991","March 1 2010","229.1","1.3"
"PCU321991321991","February 1 2010","227.2","0.5"
"PCU321991321991","January 1 2010","227.4","0.1"
"PCU321991321991","December 1 2009","227.2","-0.1"
"PCU321991321991","November 1 2009","226.9","-0.7"
"PCU321991321991","October 1 2009","226.8","-1.0"
"PCU321991321991","September 1 2009","227.1","0.2"
"PCU321991321991","August 1 2009","225.4","0.0"
"PCU321991321991","July 1 2009","225.4","0.7"
"PCU321991321991","June 1 2009","225.4","1.3"
"PCU321991321991","May 1 2009","225.3","2.7"
